city,lat,lng,country,iso2,admin_name,capital,population,population_proper
São Paulo,-23.5504,-46.6339,Brazil,BR,São Paulo,admin,22046000,12252023
Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,Rio de Janeiro,admin,12272000,6520000
Belo Horizonte,-19.9281,-43.9419,Brazil,BR,Minas Gerais,admin,5159000,2502557
Brasília,-15.7939,-47.8828,Brazil,BR,Distrito Federal,primary,3015268,3015268
Salvador,-12.9708,-38.5108,Brazil,BR,Bahia,admin,2886698,2886698
Fortaleza,-3.7275,-38.5275,Brazil,BR,Ceará,admin,2452185,2452185
Curitiba,-25.4297,-49.2719,Brazil,BR,Paraná,admin,1879355,1879355
Manaus,-3.1000,-60.0167,Brazil,BR,Amazonas,admin,1802014,1802014
Recife,-8.0539,-34.8808,Brazil,BR,Pernambuco,admin,1555039,1555039
Belém,-1.4558,-48.5039,Brazil,BR,Pará,admin,1499641,1499641
Porto Alegre,-30.0328,-51.2300,Brazil,BR,Rio Grande do Sul,admin,1484941,1484941
Goiânia,-16.6806,-49.2564,Brazil,BR,Goiás,admin,1393575,1393575
Guarulhos,-23.4667,-46.5333,Brazil,BR,São Paulo,,1324781,1324781
Vila Velha,3.2167,-51.2167,Brazil,BR,Amapá,,1209091,275736
Campinas,-22.9009,-47.0573,Brazil,BR,São Paulo,,1164098,1164098
São Gonçalo,-22.8269,-43.0539,Brazil,BR,Rio de Janeiro,,1077687,1077687
São Luís,-2.5300,-44.3028,Brazil,BR,Maranhão,admin,1073893,1073893
Maceió,-9.6658,-35.7350,Brazil,BR,Alagoas,admin,1029129,1029129
Natal,-6.9838,-60.2699,Brazil,BR,Amazonas,,980588,980588
Campo Grande,-20.4686,-54.6222,Brazil,BR,Mato Grosso do Sul,admin,906092,906092
Natal,-5.7950,-35.2089,Brazil,BR,Rio Grande do Norte,admin,877662,877662
Teresina,-5.0949,-42.8042,Brazil,BR,Piauí,admin,868075,868075
Iguaçu,-22.7400,-43.4700,Brazil,BR,Rio de Janeiro,,844583,844583
São Bernardo do Campo,-23.6939,-46.5650,Brazil,BR,São Paulo,,844483,844483
João Pessoa,-7.1200,-34.8800,Brazil,BR,Paraíba,admin,817511,817511
Abaeté,-19.1583,-45.4522,Brazil,BR,Minas Gerais,,800000,800000
Santo André,-23.6572,-46.5333,Brazil,BR,São Paulo,,710210,710210
Jaboatão,-8.1803,-35.0014,Brazil,BR,Pernambuco,,702621,659807
Uberlândia,-18.9189,-48.2769,Brazil,BR,Minas Gerais,,699097,699097
Osasco,-23.5328,-46.7919,Brazil,BR,São Paulo,,694844,694844
São José dos Campos,-23.1789,-45.8869,Brazil,BR,São Paulo,,688597,688597
Aracaju,-10.9111,-37.0717,Brazil,BR,Sergipe,admin,685356,490175
Ribeirão Prêto,-21.1783,-47.8067,Brazil,BR,São Paulo,,666323,666323
Contagem,-19.9319,-44.0539,Brazil,BR,Minas Gerais,,648766,648766
Sorocaba,-23.5019,-47.4578,Brazil,BR,São Paulo,,644919,644919
Cuiabá,-15.5958,-56.0969,Brazil,BR,Mato Grosso,admin,618124,618124
Feira de Santana,-12.2669,-38.9669,Brazil,BR,Bahia,,617528,617528
Joinvile,-26.3039,-48.8458,Brazil,BR,Santa Catarina,,597658,597658
Londrina,-23.3100,-51.1628,Brazil,BR,Paraná,,548249,548249
Ananindeua,-1.3658,-48.3719,Brazil,BR,Pará,,535547,535547
Caxias do Sul,-29.1678,-51.1789,Brazil,BR,Rio Grande do Sul,,517451,517451
Niterói,-22.8833,-43.1036,Brazil,BR,Rio de Janeiro,,496696,496696
Serra,-20.1289,-40.3078,Brazil,BR,Espírito Santo,,485376,485376
Americana,-22.7392,-47.3314,Brazil,BR,São Paulo,,479472,196022
Florianópolis,-27.5933,-48.5530,Brazil,BR,Santa Catarina,admin,477798,477798
Macapá,0.0330,-51.0653,Brazil,BR,Amapá,admin,474706,474706
Vila Velha,-20.3364,-40.2936,Brazil,BR,Espírito Santo,,472762,472762
Juiz de Fora,-21.7642,-43.3503,Brazil,BR,Minas Gerais,,470193,459336
Mauá,-23.6678,-46.4608,Brazil,BR,São Paulo,,453286,453286
Betim,-19.9678,-44.1978,Brazil,BR,Minas Gerais,,444784,444784
São José do Rio Prêto,-20.8200,-49.3789,Brazil,BR,São Paulo,,442548,442548
Santos,-23.9608,-46.3339,Brazil,BR,São Paulo,,433966,433966
Maringá,-23.4250,-51.9389,Brazil,BR,Paraná,,430157,430157
Porto Velho,-8.7619,-63.9039,Brazil,BR,Rondônia,admin,428527,428527
Mogi das Cruzes,-23.5228,-46.1931,Brazil,BR,São Paulo,,424633,424633
Montes Claros,-16.7322,-43.8636,Brazil,BR,Minas Gerais,,413487,413487
Rio Branco,-9.9781,-67.8117,Brazil,BR,Acre,admin,413418,413418
Diadema,-23.6858,-46.6228,Brazil,BR,São Paulo,,412428,412428
Campina Grande,-7.2306,-35.8811,Brazil,BR,Paraíba,,405072,405072
Jundiaí,-23.1864,-46.8842,Brazil,BR,São Paulo,,401896,401896
Carapicuíba,-23.5228,-46.8358,Brazil,BR,São Paulo,,392294,392294
Olinda,-8.0089,-34.8550,Brazil,BR,Pernambuco,,389494,389494
Campos,-21.7523,-41.3304,Brazil,BR,Rio de Janeiro,,387417,370469
Cariacica,-20.2639,-40.4200,Brazil,BR,Espírito Santo,,383917,383917
Bauru,-22.3147,-49.0606,Brazil,BR,São Paulo,,366992,366992
Anápolis,-16.3269,-48.9528,Brazil,BR,Goiás,,366491,366491
Vitória,-20.3189,-40.3378,Brazil,BR,Espírito Santo,admin,355875,355875
São Vicente,-23.9633,-46.3922,Brazil,BR,São Paulo,,355542,355542
